fare_id,route_id,origin_id,destination_id,contains_id
ST_EXPRESS_1Z,1_6532,2,2,
ST_EXPRESS_1Z,1_6513,3,3,
ST_EXPRESS_1Z,1_6513,4,4,
ST_EXPRESS_2Z,1_6513,2,3,
ST_EXPRESS_1Z,1_6513,2,2,
ST_EXPRESS_1Z,1_6513,3,4,
ST_EXPRESS_1Z,1_6513,2,4,
ST_EXPRESS_2Z,1_6511,3,2,
ST_EXPRESS_1Z,1_6511,3,3,
ST_EXPRESS_1Z,1_6511,4,4,
ST_EXPRESS_1Z,1_6511,4,3,
ST_EXPRESS_1Z,1_6511,2,2,
ST_EXPRESS_2Z,1_6511,4,2,
ST_EXPRESS_2Z,1_6511,2,3,
ST_EXPRESS_1Z,1_6511,3,4,
ST_EXPRESS_1Z,1_6511,2,4,
ST_EXPRESS_2Z,1_6510,3,2,
ST_EXPRESS_1Z,1_6510,3,3,
ST_EXPRESS_1Z,1_6510,4,4,
ST_EXPRESS_1Z,1_6510,4,3,
ST_EXPRESS_1Z,1_6510,2,2,
ST_EXPRESS_2Z,1_6510,4,2,
ST_EXPRESS_2Z,1_6510,2,3,
ST_EXPRESS_1Z,1_6510,3,4,
ST_EXPRESS_1Z,1_6510,2,4,
CT_LOCAL,1_3477,3,3,
CT_COMMUTER,1_3477,4,4,
CT_LOCAL,1_3477,2,3,
CT_LOCAL,1_3477,2,2,
CT_COMMUTER,1_3477,3,4,
CT_COMMUTER,1_3477,2,4,
CT_LOCAL,1_3441,2,3,
CT_LOCAL,1_3441,3,3,
CT_LOCAL,1_3441,2,2,
CT_LOCAL,1_3435,3,3,
CT_COMMUTER,1_3435,4,4,
CT_LOCAL,1_3435,2,3,
CT_LOCAL,1_3435,2,2,
CT_COMMUTER,1_3435,3,4,
CT_COMMUTER,1_3435,2,4,
CT_LOCAL,1_3425,1,3,
CT_LOCAL,1_3425,3,3,
CT_COMMUTER,1_3425,4,4,
CT_NE_COMMUTER,1_3425,1,4,
