from_stop_id,to_stop_id,transfer_type,min_transfer_time
67246,66100,0,
66100,67592,0,
67592,66100,0,
66100,65049,0,
65049,66100,0,
66100,65355,0,
65355,66100,0,
33974,32863,0,
32863,33984,0,
33984,32863,0,
32863,32407,0,
32407,32863,0,
32474,32863,0,
98882,100057,0,
100057,98882,0,
98882,100080,0,
100080,98882,0,
98882,100095,0,
100095,98882,0,
100120,98882,0,
98882,100148,0,
100148,98882,0,
98882,97769,0,
97769,98882,0,
131643,131651,0,
99082,98890,0,
98890,99454,0,
99454,98890,0,
98890,99459,0,
99459,98890,0,
98894,98945,0,
98945,98894,0,
98894,97730,0,
97730,98894,0,
98894,98045,0,
98045,98894,0,
98899,99287,0,
99287,98899,0,
98899,99763,0,
99763,98899,0,
98899,100083,0,
100083,98899,0,
98907,99287,0,
99287,98907,0,
98907,99763,0,
99763,98907,0,
98907,100083,0,
100083,98907,0,
125713,199226,0,
199226,125713,0,
125713,124661,0,
124661,125713,0,
125713,124841,0,
124841,125713,0,
125671,125713,0,
125713,125722,0,
125722,125713,0,
131692,199222,0,
199222,131692,0,
131692,199398,0,
199398,131692,0,
131692,199216,0,
199216,131692,0,
131692,130919,0,
130919,131692,0,
98934,98956,0,
98956,98934,0,
98934,99425,0,
99425,98934,0,
98934,100109,0,
100109,98934,0,
98934,100212,0,
100212,98934,0,
98934,97916,0,
97916,98934,0,
164476,165148,0,
165148,164476,0,
164476,165730,0,
165730,164476,0,
164476,164470,0,
164470,164476,0,
98945,99377,0,
98945,99604,0,
99604,98945,0,
98945,98045,0,
98945,98266,0,
98266,98945,0,
66179,66921,0,
164495,164489,0,
164505,164489,0,
164815,164489,0,
164489,165176,0,
165176,164489,0,
164489,165559,0,
165559,164489,0,
164489,186152,0,
186152,164489,0,
164489,163630,0,
163630,164489,0,
164489,163788,0,
163788,164489,0,
164489,163821,0,
163821,164489,0,
99425,98956,0,
98956,99630,0,
99630,98956,0,
100109,98956,0,
98956,100212,0,
100212,98956,0,
164505,164495,0,
164815,164495,0,
164495,164896,0,
164896,164495,0,
164495,165176,0,
164495,165559,0,
164495,186152,0,
186152,164495,0,
164495,163215,0,
163215,164495,0,
164495,163385,0,
164495,163630,0,
163630,164495,0,
164495,163817,0,
164495,163788,0,
163788,164495,0,
164495,163821,0,
164505,164533,0,
164533,164505,0,
164505,164550,0,
164550,164505,0,
164815,164505,0,
164505,164896,0,
164896,164505,0,
164505,165176,0,
164505,165204,0,
165204,164505,0,
164505,165559,0,
164505,164846,0,
164846,164505,0,
164505,186152,0,
186152,164505,0,
164505,163215,0,
163215,164505,0,
164505,163630,0,
164505,163788,0,
163788,164505,0,
164505,163821,0,
164512,164542,0,
164512,165633,0,
66211,66374,0,
66374,66211,0,
66950,66211,0,
66211,67284,0,
66211,67296,0,
67296,66211,0,
65109,66211,0,
65362,66211,0,
98991,98980,0,
99263,98980,0,
100019,98980,0,
100507,98980,0,
97774,98980,0,
98266,98980,0,
98281,98980,0,
164533,164550,0,
164550,164533,0,
164533,164572,0,
164815,164533,0,
164533,164896,0,
164896,164533,0,
164533,165204,0,
165204,164533,0,
164533,165449,0,
165449,164533,0,
164533,164846,0,
164846,164533,0,
164533,164574,0,
164533,186152,0,
186152,164533,0,
164533,163630,0,
163630,164533,0,
164533,163692,0,
163692,164533,0,
164533,163788,0,
66235,66240,0,
66235,66245,0,
66235,66252,0,
66252,66235,0,
66235,66254,0,
66254,66235,0,
66235,66263,0,
66235,67011,0,
67011,66235,0,
66235,67016,0,
66235,67399,0,
66235,65320,0,
65320,66235,0,
66235,65527,0,
163773,164542,0,
66252,66240,0,
66254,66240,0,
66270,66240,0,
66240,66670,0,
66670,66240,0,
66240,67011,0,
67011,66240,0,
66240,67016,0,
67016,66240,0,
66240,67399,0,
67399,66240,0,
66240,65320,0,
65320,66240,0,
66240,65527,0,
65527,66240,0,
66252,66245,0,
66254,66245,0,
66270,66245,0,
66245,66670,0,
66670,66245,0,
66245,67011,0,
67011,66245,0,
66245,67016,0,
67016,66245,0,
66245,67033,0,
67033,66245,0,
66245,67399,0,
67399,66245,0,
66245,65320,0,
65320,66245,0,
66245,65527,0,
65527,66245,0,
164550,164572,0,
164815,164550,0,
164550,164896,0,
164896,164550,0,
164550,165204,0,
165204,164550,0,
164550,165449,0,
165449,164550,0,
164550,164846,0,
164846,164550,0,
164550,164574,0,
164550,186152,0,
186152,164550,0,
164550,163630,0,
163630,164550,0,
164550,163692,0,
164550,163788,0,
163788,164550,0,
66252,66263,0,
66270,66252,0,
66252,66275,0,
66275,66252,0,
66252,66278,0,
66278,66252,0,
66252,66670,0,
66670,66252,0,
66252,67016,0,
67016,66252,0,
66252,67033,0,
67033,66252,0,
66252,67399,0,
67399,66252,0,
66252,67423,0,
67423,66252,0,
66252,65320,0,
66252,65527,0,
65527,66252,0,
66254,66263,0,
66270,66254,0,
66254,66275,0,
66275,66254,0,
66254,66278,0,
66278,66254,0,
66254,66670,0,
66670,66254,0,
66254,67016,0,
67016,66254,0,
66254,67033,0,
67033,66254,0,
66254,67399,0,
67399,66254,0,
66254,67423,0,
67423,66254,0,
66254,65320,0,
66254,65527,0,
65527,66254,0,
99027,99140,0,
99027,99287,0,
99287,99027,0,
99027,99332,0,
99472,99027,0,
99027,99521,0,
99521,99027,0,
99027,99630,0,
99630,99027,0,
99027,99737,0,
99737,99027,0,
99027,99869,0,
99869,99027,0,
99027,100481,0,
100481,99027,0,
99027,97973,0,
97973,99027,0,
66270,66263,0,
66275,66263,0,
66278,66263,0,
66286,66263,0,
66263,66670,0,
66670,66263,0,
66263,67016,0,
67016,66263,0,
66263,67033,0,
67033,66263,0,
66263,67423,0,
67423,66263,0,
66263,65320,0,
65320,66263,0,
164572,165204,0,
165204,164572,0,
164572,165449,0,
165449,164572,0,
164572,166185,0,
166185,164572,0,
164572,164846,0,
164846,164572,0,
164572,163692,0,
163692,164572,0,
66270,66275,0,
66270,66278,0,
66270,66286,0,
66270,66670,0,
66270,67033,0,
66270,67423,0,
66270,65320,0,
66294,66275,0,
66275,66303,0,
66275,66367,0,
66367,66275,0,
66275,66670,0,
66670,66275,0,
66275,66688,0,
66688,66275,0,
66275,67033,0,
67033,66275,0,
66275,67054,0,
67054,66275,0,
66275,67423,0,
67423,66275,0,
66275,65480,0,
65480,66275,0,
66294,66278,0,
66278,66303,0,
66278,66305,0,
66278,66367,0,
66367,66278,0,
66278,66670,0,
66670,66278,0,
66278,66688,0,
66688,66278,0,
66278,67033,0,
67033,66278,0,
66278,67054,0,
67054,66278,0,
66278,67423,0,
67423,66278,0,
66278,65480,0,
65480,66278,0,
164583,165591,0,
165591,164583,0,
164583,164664,0,
164664,164583,0,
66294,66286,0,
