route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
1_5008,PSRC,WFVSW,WSF VASHN-STHWRTH EB,,4
1_5009,PSRC,MKFF1,EL BAY WATER TAXI WB,,4
1_6001,PSRC,RLCRL,COMMTR RL TAC-SEA NB,,2
1_6003,PSRC,RLCRL,COMMTR RL EV-SEA SB,,2
1_6010,PSRC,RLLRL,LITE RL TCOMA CBD,,0
1_6011,PSRC,RLLR,LightRail SeaTac-Sea,,0
1_6510,PSRC,ST510,510 EVERTT-SEACBD NB,,3
1_6511,PSRC,ST511,511 ASH WY-SEACBD NB,,3
1_6513,PSRC,ST513,510 Everett-Seattle*,,3
1_6522,PSRC,ST522,ST522a,,3
1_6532,PSRC,ST532,532 BELVUE-EVERTT SB,,3
1_6535,PSRC,ST535,BellevueTC-Lynwood,,3
1_6540,PSRC,ST540,540 REDMOND-UW WB,,3
1_6545,PSRC,ST545,545 RED-SCBD-HLGT WB,,3
1_6550,PSRC,ST550,550 BELLVU-SEACBD EB,,3
1_6554,PSRC,ST554,554 ISSAQ-SEA CBD EB,,3
1_6555,PSRC,ST555,555 ISSAQ-BTC-NGT E*,,3
1_6556,PSRC,ST556,556 ISSAQ-BTC-NGT W*,,3
